date,commit_count,unique_committers,lines_added,lines_deleted,total_changes
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,0,0,0
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,0,0
2014-04-01,0,0,0,0,0
2014-05-01,0,0,0,0,0
2014-06-01,0,0,0,0,0
2014-07-01,0,0,0,0,0
2014-08-01,0,0,0,0,0
2014-09-01,0,0,0,0,0
2014-10-01,0,0,0,0,0
2014-11-01,0,0,0,0,0
2014-12-01,0,0,0,0,0
2015-01-01,0,0,0,0,0
2015-02-01,0,0,0,0,0
2015-03-01,0,0,0,0,0
2015-04-01,0,0,0,0,0
2015-05-01,0,0,0,0,0
2015-06-01,0,0,0,0,0
2015-07-01,0,0,0,0,0
2015-08-01,0,0,0,0,0
2015-09-01,0,0,0,0,0
2015-10-01,0,0,0,0,0
2015-11-01,0,0,0,0,0
2015-12-01,0,0,0,0,0
2016-01-01,0,0,0,0,0
2016-02-01,0,0,0,0,0
2016-03-01,0,0,0,0,0
2016-04-01,0,0,0,0,0
2016-05-01,0,0,0,0,0
2016-06-01,0,0,0,0,0
2016-07-01,0,0,0,0,0
2016-08-01,0,0,0,0,0
2016-09-01,0,0,0,0,0
2016-10-01,0,0,0,0,0
2016-11-01,0,0,0,0,0
2016-12-01,0,0,0,0,0
2017-01-01,0,0,0,0,0
2017-02-01,0,0,0,0,0
2017-03-01,0,0,0,0,0
2017-04-01,38,3,4591,438,5029
2017-05-01,19,2,3048,1987,5035
2017-06-01,0,0,0,0,0
2017-07-01,3,1,197,48,245
2017-08-01,5,2,1464,1305,2769
2017-09-01,12,2,2051,2207,4258
2017-10-01,0,0,0,0,0
2017-11-01,0,0,0,0,0
2017-12-01,0,0,0,0,0
2018-01-01,0,0,0,0,0
2018-02-01,0,0,0,0,0
2018-03-01,6,2,16523,3038,19561
2018-04-01,9,4,1316,1315,2631
2018-05-01,13,5,281,13475,13756
2018-06-01,0,0,0,0,0
2018-07-01,0,0,0,0,0
2018-08-01,15,5,5255,19926,25181
2018-09-01,1,1,0,0,0
2018-10-01,2,2,1,2,3
2018-11-01,7,2,152,89,241
2018-12-01,5,2,263,242,505
2019-01-01,0,0,0,0,0
2019-02-01,0,0,0,0,0
2019-03-01,0,0,0,0,0
2019-04-01,0,0,0,0,0
2019-05-01,1,1,0,38,38
2019-06-01,0,0,0,0,0
2019-07-01,10,2,1028,1530,2558
2019-08-01,2,1,113,32,145
2019-09-01,0,0,0,0,0
2019-10-01,1,1,9,0,9
2019-11-01,1,1,18,12,30
2019-12-01,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-03-01,8,1,52,29,81
2020-04-01,0,0,0,0,0
2020-05-01,1,1,3,3,6
2020-06-01,0,0,0,0,0
2020-07-01,13,2,1044,817,1861
2020-08-01,6,3,86,48,134
2020-09-01,0,0,0,0,0
2020-10-01,0,0,0,0,0
2020-11-01,4,1,15,70,85
2020-12-01,22,7,6060,1343,7403
2021-01-01,0,0,0,0,0
2021-02-01,0,0,0,0,0
2021-03-01,2,1,3,3,6
2021-04-01,3,3,1393,1350,2743
2021-05-01,3,3,48,39,87
2021-06-01,0,0,0,0,0
2021-07-01,0,0,0,0,0
2021-08-01,2,2,5559,12,5571
2021-09-01,1,1,3,3,6
2021-10-01,44,5,5352,3658,9010
2021-11-01,25,6,1093,623,1716
2021-12-01,9,5,123,35,158
2022-01-01,13,4,1974,7265,9239
2022-02-01,4,4,73,5,78
2022-03-01,0,0,0,0,0
2022-04-01,4,3,20,14,34
2022-05-01,6,4,227,183,410
2022-06-01,6,5,114,14,128
2022-07-01,0,0,0,0,0
2022-08-01,0,0,0,0,0
2022-09-01,5,3,2303,1846,4149
2022-10-01,14,6,287,95,382
2022-11-01,6,5,23,18,41
2022-12-01,0,0,0,0,0
2023-01-01,0,0,0,0,0
2023-02-01,0,0,0,0,0
2023-03-01,3,2,17,17,34
2023-04-01,0,0,0,0,0
2023-05-01,0,0,0,0,0
2023-06-01,0,0,0,0,0
2023-07-01,0,0,0,0,0
2023-08-01,0,0,0,0,0
2023-09-01,0,0,0,0,0
2023-10-01,0,0,0,0,0
2023-11-01,4,4,753,694,1447
2023-12-01,5,3,414,90,504
2024-01-01,0,0,0,0,0
2024-02-01,0,0,0,0,0
2024-03-01,0,0,0,0,0
2024-04-01,0,0,0,0,0
2024-05-01,0,0,0,0,0
2024-06-01,1,1,6,6,12
2024-07-01,0,0,0,0,0
2024-08-01,0,0,0,0,0
2024-09-01,0,0,0,0,0
