date,commit_count,unique_committers,lines_added,lines_deleted,total_changes
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,0,0,0
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,0,0
2014-04-01,0,0,0,0,0
2014-05-01,0,0,0,0,0
2014-06-01,0,0,0,0,0
2014-07-01,0,0,0,0,0
2014-08-01,0,0,0,0,0
2014-09-01,0,0,0,0,0
2014-10-01,0,0,0,0,0
2014-11-01,0,0,0,0,0
2014-12-01,0,0,0,0,0
2015-01-01,0,0,0,0,0
2015-02-01,0,0,0,0,0
2015-03-01,70,6,5580,368,5948
2015-04-01,35,2,653,201,854
2015-05-01,1,1,2,2,4
2015-06-01,0,0,0,0,0
2015-07-01,0,0,0,0,0
2015-08-01,5,2,32,676,708
2015-09-01,28,3,4646,713,5359
2015-10-01,11,2,108,50,158
2015-11-01,13,3,386,248,634
2015-12-01,0,0,0,0,0
2016-01-01,3,1,5,6,11
2016-02-01,2,2,16,1,17
2016-03-01,0,0,0,0,0
2016-04-01,0,0,0,0,0
2016-05-01,1,1,41,1,42
2016-06-01,24,2,1885,1836,3721
2016-07-01,31,1,1913,497,2410
2016-08-01,0,0,0,0,0
2016-09-01,0,0,0,0,0
2016-10-01,14,1,251,135,386
2016-11-01,37,2,521,129,650
2016-12-01,5,3,780,96,876
2017-01-01,12,5,1246,620,1866
2017-02-01,28,5,1426,812,2238
2017-03-01,35,6,1350,232,1582
2017-04-01,16,3,57,41,98
2017-05-01,32,3,6672,847,7519
2017-06-01,15,4,5854,4133,9987
2017-07-01,14,2,768,508,1276
2017-08-01,4,1,62,15,77
2017-09-01,0,0,0,0,0
2017-10-01,0,0,0,0,0
2017-11-01,0,0,0,0,0
2017-12-01,1,1,3,1,4
2018-01-01,0,0,0,0,0
2018-02-01,0,0,0,0,0
2018-03-01,0,0,0,0,0
2018-04-01,0,0,0,0,0
2018-05-01,6,4,8,3,11
2018-06-01,0,0,0,0,0
2018-07-01,1,1,1,1,2
2018-08-01,0,0,0,0,0
2018-09-01,0,0,0,0,0
2018-10-01,0,0,0,0,0
2018-11-01,0,0,0,0,0
2018-12-01,0,0,0,0,0
2019-01-01,0,0,0,0,0
2019-02-01,5,1,9250,47,9297
2019-03-01,0,0,0,0,0
2019-04-01,0,0,0,0,0
2019-05-01,0,0,0,0,0
2019-06-01,0,0,0,0,0
2019-07-01,0,0,0,0,0
2019-08-01,0,0,0,0,0
2019-09-01,9,1,58,55,113
2019-10-01,0,0,0,0,0
2019-11-01,3,1,261,45,306
2019-12-01,3,2,18,1,19
2020-01-01,39,3,585,248,833
2020-02-01,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-04-01,0,0,0,0,0
2020-05-01,0,0,0,0,0
2020-06-01,0,0,0,0,0
2020-07-01,0,0,0,0,0
2020-08-01,0,0,0,0,0
2020-09-01,0,0,0,0,0
2020-10-01,0,0,0,0,0
2020-11-01,0,0,0,0,0
2020-12-01,0,0,0,0,0
2021-01-01,0,0,0,0,0
2021-02-01,0,0,0,0,0
2021-03-01,0,0,0,0,0
2021-04-01,0,0,0,0,0
2021-05-01,0,0,0,0,0
2021-06-01,0,0,0,0,0
2021-07-01,0,0,0,0,0
2021-08-01,0,0,0,0,0
2021-09-01,0,0,0,0,0
2021-10-01,0,0,0,0,0
2021-11-01,0,0,0,0,0
2021-12-01,0,0,0,0,0
2022-01-01,0,0,0,0,0
2022-02-01,1,1,1,1,2
2022-03-01,0,0,0,0,0
2022-04-01,0,0,0,0,0
2022-05-01,0,0,0,0,0
2022-06-01,0,0,0,0,0
2022-07-01,0,0,0,0,0
2022-08-01,0,0,0,0,0
2022-09-01,0,0,0,0,0
2022-10-01,0,0,0,0,0
2022-11-01,0,0,0,0,0
2022-12-01,0,0,0,0,0
2023-01-01,0,0,0,0,0
2023-02-01,0,0,0,0,0
2023-03-01,0,0,0,0,0
2023-04-01,0,0,0,0,0
2023-05-01,0,0,0,0,0
2023-06-01,0,0,0,0,0
2023-07-01,0,0,0,0,0
2023-08-01,0,0,0,0,0
2023-09-01,0,0,0,0,0
2023-10-01,0,0,0,0,0
2023-11-01,0,0,0,0,0
2023-12-01,0,0,0,0,0
2024-01-01,0,0,0,0,0
2024-02-01,0,0,0,0,0
2024-03-01,0,0,0,0,0
2024-04-01,0,0,0,0,0
2024-05-01,0,0,0,0,0
2024-06-01,0,0,0,0,0
2024-07-01,0,0,0,0,0
2024-08-01,0,0,0,0,0
2024-09-01,0,0,0,0,0
2024-10-01,0,0,0,0,0
