date,commit_count,unique_committers,lines_added,lines_deleted,total_changes
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,0,0,0
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,0,0
2014-04-01,0,0,0,0,0
2014-05-01,0,0,0,0,0
2014-06-01,0,0,0,0,0
2014-07-01,0,0,0,0,0
2014-08-01,0,0,0,0,0
2014-09-01,0,0,0,0,0
2014-10-01,0,0,0,0,0
2014-11-01,0,0,0,0,0
2014-12-01,0,0,0,0,0
2015-01-01,0,0,0,0,0
2015-02-01,0,0,0,0,0
2015-03-01,0,0,0,0,0
2015-04-01,0,0,0,0,0
2015-05-01,0,0,0,0,0
2015-06-01,0,0,0,0,0
2015-07-01,0,0,0,0,0
2015-08-01,0,0,0,0,0
2015-09-01,0,0,0,0,0
2015-10-01,0,0,0,0,0
2015-11-01,0,0,0,0,0
2015-12-01,7,1,822134,1611,823745
2016-01-01,5,1,1038,797,1835
2016-02-01,29,1,310589,812220,1122809
2016-03-01,40,1,68693,725,69418
2016-04-01,42,1,2297,60926,63223
2016-05-01,0,0,0,0,0
2016-06-01,0,0,0,0,0
2016-07-01,0,0,0,0,0
2016-08-01,0,0,0,0,0
2016-09-01,0,0,0,0,0
2016-10-01,0,0,0,0,0
2016-11-01,0,0,0,0,0
2016-12-01,0,0,0,0,0
2017-01-01,0,0,0,0,0
2017-02-01,0,0,0,0,0
2017-03-01,0,0,0,0,0
2017-04-01,0,0,0,0,0
2017-05-01,0,0,0,0,0
2017-06-01,0,0,0,0,0
2017-07-01,0,0,0,0,0
2017-08-01,0,0,0,0,0
2017-09-01,0,0,0,0,0
2017-10-01,0,0,0,0,0
2017-11-01,0,0,0,0,0
2017-12-01,0,0,0,0,0
2018-01-01,0,0,0,0,0
2018-02-01,0,0,0,0,0
2018-03-01,0,0,0,0,0
2018-04-01,0,0,0,0,0
2018-05-01,0,0,0,0,0
2018-06-01,0,0,0,0,0
2018-07-01,0,0,0,0,0
2018-08-01,0,0,0,0,0
2018-09-01,0,0,0,0,0
2018-10-01,0,0,0,0,0
2018-11-01,35,1,19336,240966,260302
2018-12-01,2,1,56,104,160
2019-01-01,40,1,35221,964,36185
2019-02-01,0,0,0,0,0
2019-03-01,11,1,122,46,168
2019-04-01,0,0,0,0,0
2019-05-01,0,0,0,0,0
2019-06-01,14,1,130,118,248
2019-07-01,0,0,0,0,0
2019-08-01,0,0,0,0,0
2019-09-01,0,0,0,0,0
2019-10-01,0,0,0,0,0
2019-11-01,0,0,0,0,0
2019-12-01,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-02-01,28,1,2179,1761,3940
2020-03-01,97,1,14119,6183,20302
2020-04-01,113,1,5753,1589,7342
2020-05-01,54,2,6086,1544,7630
2020-06-01,34,1,2195,820,3015
2020-07-01,17,1,299,149,448
2020-08-01,0,0,0,0,0
2020-09-01,3,1,27,42,69
2020-10-01,0,0,0,0,0
2020-11-01,0,0,0,0,0
2020-12-01,10,1,1779,985,2764
2021-01-01,4,1,21,69,90
2021-02-01,31,1,13818,5602,19420
2021-03-01,20,1,905,409,1314
2021-04-01,13,1,295,30,325
2021-05-01,0,0,0,0,0
2021-06-01,0,0,0,0,0
2021-07-01,0,0,0,0,0
2021-08-01,0,0,0,0,0
2021-09-01,0,0,0,0,0
2021-10-01,8,1,1843,1166,3009
2021-11-01,0,0,0,0,0
2021-12-01,0,0,0,0,0
2022-01-01,0,0,0,0,0
2022-02-01,0,0,0,0,0
2022-03-01,29,2,2965,3298,6263
2022-04-01,11,2,351,473,824
2022-05-01,6,2,192,188,380
2022-06-01,86,1,9612,11868,21480
2022-07-01,130,1,8122,4984,13106
2022-08-01,30,3,1719,1967,3686
2022-09-01,36,2,1480,2134,3614
2022-10-01,75,2,57167,1069,58236
2022-11-01,25,2,570,470,1040
2022-12-01,11,2,570,578,1148
2023-01-01,11,1,364,348,712
2023-02-01,30,1,5189,4457,9646
2023-03-01,0,0,0,0,0
2023-04-01,5,1,544,355,899
2023-05-01,54,2,1949,1368,3317
2023-06-01,0,0,0,0,0
2023-07-01,9,2,1167,957,2124
2023-08-01,10,2,381,356,737
2023-09-01,1,1,4,4,8
2023-10-01,5,2,725,583,1308
2023-11-01,8,1,227,223,450
2023-12-01,17,2,952,850,1802
2024-01-01,13,2,317,446,763
2024-02-01,1,1,1,1,2
2024-03-01,17,3,732,772,1504
2024-04-01,10,2,177,175,352
2024-05-01,14,2,409,381,790
2024-06-01,0,0,0,0,0
2024-07-01,0,0,0,0,0
