date,commit_count,unique_committers,lines_added,lines_deleted,total_changes
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,0,0,0
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,0,0,0,0
2014-03-01,21,3,2375,170,2545
2014-04-01,8,1,69,26,95
2014-05-01,0,0,0,0,0
2014-06-01,0,0,0,0,0
2014-07-01,22,1,1211,115,1326
2014-08-01,2,1,18,7,25
2014-09-01,27,2,2834,92,2926
2014-10-01,2,1,4,1,5
2014-11-01,0,0,0,0,0
2014-12-01,0,0,0,0,0
2015-01-01,0,0,0,0,0
2015-02-01,0,0,0,0,0
2015-03-01,7,1,589,25,614
2015-04-01,2,1,8,3,11
2015-05-01,0,0,0,0,0
2015-06-01,6,1,26,5,31
2015-07-01,0,0,0,0,0
2015-08-01,0,0,0,0,0
2015-09-01,30,3,4627,528,5155
2015-10-01,0,0,0,0,0
2015-11-01,0,0,0,0,0
2015-12-01,0,0,0,0,0
2016-01-01,0,0,0,0,0
2016-02-01,17,1,695,139,834
2016-03-01,6,1,18,10,28
2016-04-01,0,0,0,0,0
2016-05-01,0,0,0,0,0
2016-06-01,0,0,0,0,0
2016-07-01,0,0,0,0,0
2016-08-01,0,0,0,0,0
2016-09-01,0,0,0,0,0
2016-10-01,0,0,0,0,0
2016-11-01,0,0,0,0,0
2016-12-01,0,0,0,0,0
2017-01-01,0,0,0,0,0
2017-02-01,1,1,32,6,38
2017-03-01,4,2,12,18,30
2017-04-01,0,0,0,0,0
2017-05-01,2,1,256,159,415
2017-06-01,22,1,10722,3106,13828
2017-07-01,54,2,6196,1209,7405
2017-08-01,34,1,1597,741,2338
2017-09-01,14,1,963,164,1127
2017-10-01,0,0,0,0,0
2017-11-01,0,0,0,0,0
2017-12-01,0,0,0,0,0
2018-01-01,0,0,0,0,0
2018-02-01,0,0,0,0,0
2018-03-01,9,1,961,26,987
2018-04-01,1,1,1,1,2
2018-05-01,3,1,444,3,447
2018-06-01,0,0,0,0,0
2018-07-01,15,1,1929,40,1969
2018-08-01,3,1,94,13,107
2018-09-01,5,1,96,47,143
2018-10-01,0,0,0,0,0
2018-11-01,24,1,1901,494,2395
2018-12-01,0,0,0,0,0
2019-01-01,0,0,0,0,0
2019-02-01,7,1,473,41,514
2019-03-01,3,1,27,7,34
2019-04-01,4,1,325,6,331
2019-05-01,3,2,112,16,128
2019-06-01,8,1,418,72,490
2019-07-01,0,0,0,0,0
2019-08-01,0,0,0,0,0
2019-09-01,1,1,80,0,80
2019-10-01,0,0,0,0,0
2019-11-01,7,1,261,88,349
2019-12-01,9,1,636,187,823
2020-01-01,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-03-01,7,1,553,25,578
2020-04-01,5,1,288,50,338
2020-05-01,1,1,8,8,16
2020-06-01,0,0,0,0,0
2020-07-01,0,0,0,0,0
2020-08-01,6,1,465,20,485
2020-09-01,4,1,172,14,186
2020-10-01,0,0,0,0,0
2020-11-01,0,0,0,0,0
2020-12-01,0,0,0,0,0
2021-01-01,5,1,83,107,190
2021-02-01,3,1,70,6,76
2021-03-01,2,1,127,3,130
2021-04-01,16,1,7702,272,7974
2021-05-01,0,0,0,0,0
2021-06-01,0,0,0,0,0
2021-07-01,0,0,0,0,0
2021-08-01,6,2,784,814,1598
2021-09-01,2,1,398,249,647
2021-10-01,7,1,505,1670,2175
2021-11-01,0,0,0,0,0
2021-12-01,3,1,16,13,29
2022-01-01,0,0,0,0,0
2022-02-01,19,1,460,110,570
2022-03-01,20,2,1534,175,1709
2022-04-01,24,2,1424,418,1842
2022-05-01,6,1,60,42,102
2022-06-01,0,0,0,0,0
2022-07-01,0,0,0,0,0
2022-08-01,0,0,0,0,0
2022-09-01,13,1,570,368,938
2022-10-01,26,1,1302,669,1971
2022-11-01,1,1,29,3,32
2022-12-01,8,1,656,153,809
2023-01-01,3,1,12,9,21
2023-02-01,1,1,1,1,2
2023-03-01,1,1,1,1,2
2023-04-01,12,1,1167,161,1328
2023-05-01,1,1,1,1,2
2023-06-01,13,1,691,507,1198
2023-07-01,14,1,2092,481,2573
2023-08-01,16,1,4702,1041,5743
2023-09-01,0,0,0,0,0
2023-10-01,40,1,2355,1121,3476
2023-11-01,1,1,10,3,13
2023-12-01,0,0,0,0,0
2024-01-01,0,0,0,0,0
2024-02-01,1,1,4,4,8
2024-03-01,10,1,6860,1916,8776
2024-04-01,55,1,3787,1530,5317
2024-05-01,4,1,11,1,12
2024-06-01,2,1,5,2,7
2024-07-01,0,0,0,0,0
2024-08-01,13,1,1423,64,1487
