date,commit_count,unique_committers,lines_added,lines_deleted,total_changes
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,0,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,0,0,0
2013-12-01,0,0,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,0,0
2014-04-01,0,0,0,0,0
2014-05-01,0,0,0,0,0
2014-06-01,0,0,0,0,0
2014-07-01,0,0,0,0,0
2014-08-01,0,0,0,0,0
2014-09-01,0,0,0,0,0
2014-10-01,0,0,0,0,0
2014-11-01,0,0,0,0,0
2014-12-01,0,0,0,0,0
2015-01-01,0,0,0,0,0
2015-02-01,0,0,0,0,0
2015-03-01,0,0,0,0,0
2015-04-01,0,0,0,0,0
2015-05-01,0,0,0,0,0
2015-06-01,0,0,0,0,0
2015-07-01,0,0,0,0,0
2015-08-01,0,0,0,0,0
2015-09-01,0,0,0,0,0
2015-10-01,0,0,0,0,0
2015-11-01,0,0,0,0,0
2015-12-01,0,0,0,0,0
2016-01-01,0,0,0,0,0
2016-02-01,0,0,0,0,0
2016-03-01,0,0,0,0,0
2016-04-01,0,0,0,0,0
2016-05-01,0,0,0,0,0
2016-06-01,0,0,0,0,0
2016-07-01,0,0,0,0,0
2016-08-01,0,0,0,0,0
2016-09-01,0,0,0,0,0
2016-10-01,0,0,0,0,0
2016-11-01,0,0,0,0,0
2016-12-01,0,0,0,0,0
2017-01-01,0,0,0,0,0
2017-02-01,0,0,0,0,0
2017-03-01,0,0,0,0,0
2017-04-01,0,0,0,0,0
2017-05-01,0,0,0,0,0
2017-06-01,0,0,0,0,0
2017-07-01,0,0,0,0,0
2017-08-01,0,0,0,0,0
2017-09-01,0,0,0,0,0
2017-10-01,0,0,0,0,0
2017-11-01,0,0,0,0,0
2017-12-01,0,0,0,0,0
2018-01-01,0,0,0,0,0
2018-02-01,0,0,0,0,0
2018-03-01,0,0,0,0,0
2018-04-01,0,0,0,0,0
2018-05-01,0,0,0,0,0
2018-06-01,0,0,0,0,0
2018-07-01,40,1,31164,3958,35122
2018-08-01,61,1,17862,4793,22655
2018-09-01,8,1,906,194,1100
2018-10-01,17,1,2248,724,2972
2018-11-01,2,1,242,12,254
2018-12-01,12,1,1914,601,2515
2019-01-01,96,1,24856,9934,34790
2019-02-01,26,1,7552,3966,11518
2019-03-01,0,0,0,0,0
2019-04-01,0,0,0,0,0
2019-05-01,0,0,0,0,0
2019-06-01,0,0,0,0,0
2019-07-01,13,3,33,12713,12746
2019-08-01,14,1,19888,6672,26560
2019-09-01,13,1,5571,420,5991
2019-10-01,0,0,0,0,0
2019-11-01,0,0,0,0,0
2019-12-01,2,1,163,6,169
2020-01-01,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-04-01,6,1,24156,3102,27258
2020-05-01,30,1,10277,59517,69794
2020-06-01,1,1,635,605,1240
2020-07-01,28,1,5198,1444,6642
2020-08-01,45,1,13435,11546,24981
2020-09-01,18,1,1611,626,2237
2020-10-01,0,0,0,0,0
2020-11-01,0,0,0,0,0
2020-12-01,0,0,0,0,0
2021-01-01,1,1,208,68,276
2021-02-01,21,2,6698,2476,9174
2021-03-01,48,1,11791,4696,16487
2021-04-01,12,2,1937,536,2473
2021-05-01,0,0,0,0,0
2021-06-01,0,0,0,0,0
2021-07-01,2,1,761,32,793
2021-08-01,0,0,0,0,0
2021-09-01,0,0,0,0,0
2021-10-01,15,2,4474,926,5400
2021-11-01,23,2,5724,2325,8049
2021-12-01,0,0,0,0,0
2022-01-01,2,2,27,25,52
2022-02-01,0,0,0,0,0
2022-03-01,1,1,0,0,0
2022-04-01,0,0,0,0,0
2022-05-01,0,0,0,0,0
2022-06-01,0,0,0,0,0
2022-07-01,27,2,5408,1470,6878
2022-08-01,5,1,566,181,747
2022-09-01,0,0,0,0,0
2022-10-01,0,0,0,0,0
2022-11-01,0,0,0,0,0
2022-12-01,0,0,0,0,0
2023-01-01,0,0,0,0,0
2023-02-01,0,0,0,0,0
2023-03-01,0,0,0,0,0
2023-04-01,0,0,0,0,0
2023-05-01,0,0,0,0,0
2023-06-01,0,0,0,0,0
2023-07-01,0,0,0,0,0
2023-08-01,0,0,0,0,0
2023-09-01,0,0,0,0,0
2023-10-01,0,0,0,0,0
2023-11-01,0,0,0,0,0
2023-12-01,4,1,521,442,963
2024-01-01,0,0,0,0,0
2024-02-01,4,1,1427,1034,2461
2024-03-01,0,0,0,0,0
2024-04-01,1,1,45,4,49
2024-05-01,0,0,0,0,0
2024-06-01,0,0,0,0,0
2024-07-01,0,0,0,0,0
2024-08-01,0,0,0,0,0
