\cite{ActiDoo},                     0,1,2,2,2,2,2,1,0,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0
\cite{SieteValles},                 0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
\cite{UserInfuser},                 0,0,0,2,0,2,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
\cite{GamificationServer},          0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
\cite{DjangoGamification},          0,0,0,2,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
\cite{FlarumGamification},          0,0,0,2,2,1,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2
\cite{Gioco},                       1,0,0,2,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
\cite{HyperosloGamification},       0,0,2,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0
\cite{MoodleBlockXP},               0,0,2,2,2,2,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1
\cite{ScoreJS},                     0,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1
\cite{LaravelGamify},               0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
\cite{Yay},                         0,0,2,2,2,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
\cite{Kinben},                      0,0,2,2,2,2,2,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0
\cite{Oasis},                       0,0,2,2,2,2,2,2,0,0,2,0,0,0,0,1,0,0,2,2,0,0,2,0
\cite{LevelUp},                     0,0,0,2,2,2,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
\cite{Gamify},                      0,0,2,2,0,0,2,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0
\cite{GamifyLaravel},               0,0,2,2,2,2,0,1,0,0,2,0,0,2,2,1,0,0,0,0,0,0,0,0
\cite{Honor},                       0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
\cite{PhpGamify},                   0,0,0,2,2,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
\cite{AcisGamificationFramework},   0,0,2,2,2,2,2,1,0,0,2,1,0,2,0,1,0,0,2,2,0,0,2,0
\cite{OvosPlay},                    2,2,2,2,0,2,2,1,0,2,2,0,0,0,0,1,1,2,0,0,0,0,0,0
\cite{TalonOne},                    0,0,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,2,2,2,0,2,2
\cite{SoliticsGamification},        2,2,2,2,2,0,2,2,0,2,2,0,2,2,0,0,2,2,0,2,2,2,2,2
\cite{Staffino},                    2,0,2,2,2,2,2,2,0,0,2,0,0,2,0,1,0,2,0,2,0,0,2,0
\cite{DotVu},                       0,2,2,2,2,2,2,2,0,2,2,0,0,1,0,1,0,2,2,2,2,2,2,0
